"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bahrain","BHR","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","0","1","3","12","0","3","4","8","3","2","1","2","2","3.19","3.42","1.72","0","5.7","6","14.21","21","21","36","46","51","56","",
"Bahamas, The","BHS","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","42","42","37","51","69","49","6","10","8","4","24","1","1","1","1","2","13","25","52","30","85","52","30","20","17","1","1","1","1","9.35","9.33","9","6","6.84","6","6","1","1","",
"Bosnia and Herzegovina","BIH","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4685","6635","6394","7070","7621","7442","7589","7620","7620","4970.2","3638.3","2923.5","3397","4490.6","4603.6","3800.4","3678.8","3997.4","3815.8","3858.6","3959.9","",
"Belarus","BLR","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8415","7018","6934","5463","6038","4322","4727","4824","6716","4666","6523","5393","4150","5648","8406","14091","14636","15659","16265","16293","15499","13548","10658","9130.9","11199","10353.5","11580.9","9590.7","9266.33","8504.9","7164.4","",
"Belize","BLZ","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","0","0","542","99","158","301","602","656","950","1004","1397","1642","3163","3630","4460","4400","10160","11426","11078","7624","3172","4528","5725","7410.7","5102","5883.2","7160","7214.96","4206","1151","565","576","579","559","609","1130","",
"Bermuda","BMU","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","95","348","515","200","266","649","617","616","380","387","385","398","405","320","418","375","450","430","455","585","631","775","856","966","1060","1076","1400","3167.5","3430","3680","3750","3825","3720","3853","","",
"Brazil","BRA","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","10","19","27","50","93","158","286","433","780","1132","1687","3737","5794","7586","9168","10700","10873","10990","13140","15559","18170","20490","23390","29820","30390","30915","46202","77690","87676","103915","140657","172450","205568","247678","273268","269699","257784","271697","289048","331553","365127","411777","436084","480880","477634.46","564221.57","578372.92","542982.01","565196.44","581637.72","600600.1","630800.2","650572.21","738881","",
"Barbados","BRB","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","2","2","10.5","10.5","14.5","20.5","20.5","25.5","25.5","25.5","25.5","25.5","20.5","5.5","",
"Brunei Darussalam","BRN","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","6","1","17","36","72","103","119","157","172","194","113","99","157","160","709","454","475","622","473","433","499.98","530","550","560.85","711.07","983.14","947.63","1632","1245.99","933.18","3500.03","4767.92","5020","",
"Bhutan","BTN","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","12","31","35","35","30","30","30","30","30","30","30","30","30","30","30","40","40","40","40","46","46","46","75","78.34","69.8","139","149","185","222","223.62","209.27","181","193","190.88","",
"Botswana","BWA","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","15","20","25","35","146","163","171","",
"Central African Republic","CAF","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","15","30","47","64","80","94","111","128","309","288","193","88","79","82","105","105","338","301","255","210","150","80","80","117","120","125","125","125","125","125","140","140","140","140","170","170","182","195","195","195","195","190","204","204","204","210","215","",
"Canada","CAN","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","2975","2990","3100","3215","3230","3242","3258","3275","3394","3405","3591","3893","4561","5333","4583","4129","3943","3897","4038","3458","3566","4074","3421","4289","7720","8798","12678","16890","23622","32451","41216","48068","45386","52442","55430","65207","72376","81676","91046","112916","127665","153046","172046","167798","145018","154587","171629","152486","155549","155928","162341","169706","184910","168015","139732","187462","200765","191616","191373","187248","169800","190232","166463","",
"Central Europe and the Baltics","CEB","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","32700","36500","35950","38250","44810","45930","47399","53857","52564","54405","53783","56665","69114","68181","74647","75053","80124","81893","76511","76144","78382","92256","97358","90926","96160","91388","95363","91250","106742","105374","86799","81262","90085","87825","89994","86562","79508","79981","80857","91920","93027","98030","88699","95587","96964","101718","107300","109847","113104","114314.97","103790.09","100559.96","102560.92","113420.59","119209.96","124998.69","131229.72","134047.46","140543.05","143496.55","145698.04","148608.78","142981.8","",
"Switzerland","CHE","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","5","10","15","25","40","60","90","130","170","200","220","250","272","270","271","252","254","1180","1070","1230","1230","1135","1235","1161","1161","1150","1150","1135","1100","1135","1135","1100","1205","1214","1214","1216","1216","1249","1261","1466","1471","1593","1593","1593","1733","1733","1843","2358.1","2358.1","2364","2500","",
"Channel Islands","CHI","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","25","13","13","67","67","50","81","103","114","191","130","196","249","390","487","580","684","775","650","660","791","972","1024.6","1130.2","1091.1","882.24","973.13","1317.75","1769.2","1499.65","1377.2","1466.6","1378.2","1107.37","1145","1190","",
"Chile","CHL","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","80","80","90","100","110","120","230","144","183","201","183","212","258","370","443","543","736","818","1093","1514","2088","2789","5316","1972","8611","7497","9941","13936","32349","51510","70464","105258","116281","135090","183747","206266","323115","375113","361430","305494","425058","631634","617303","607338","696157","739368","832329","806166","870845","881084","713241","969539","1075547","1045718","1227359","1057742","1050117","1219747.1","1287232.58","1407289","1505486","1443520","1524149","",
"China","CHN","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","958506","777762","741121","856931","1017083","1159540","1320775","1315911","1306208","1513849","1480670","1790968","1987611","1823366","1975622","2157727","2106125","2788044","2987334","2901626","3105342","3033775","3258008","3657489","4271240","5026016","5606227","6325967","7376299","8101298","8392965","9695110","12185159","15221669","18213586","21152498","23465787","23747399","25671893","28000956","29749708","31102502","33160273","34891716","37172411","38943267","40911091.49","42530160.3","44072886.73","46062875.71","47789756.78","49147606.1","52082585.66","55029057.76","57320503.73","59368941.59","62318377.86","64358480.81","66135059.34","68423858.99","70483538.48","72805297","75388639","",
"Cote d'Ivoire","CIV","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","60","213","229","170","168","100","253","306","351","117","386","1128","450","862","1000","1197","1025","806","866","866","866","866","1290","1290","1340","1700","3394","3720","3720","3750","4000","4392","4500","4700","5020","5420","5720","6200","",
"Cameroon","CMR","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","11","22","40","57","89","120","282","130","124","137","167","138","106","74","57","50","50","57","58","67","67","67","50","150","330","385","395","402","435","546","546","546","570","571","840","1195","1575","1955","2315","3855","5508","6908","8508","9808","10118","",
"Congo, Dem. Rep.","COD","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","81","180","689","723","759","760","700","700","730","700","650","600","600","1000","1833","1993","2076","2744","2965","2965","2965","3015","3020","3020.5","3025","3025","3025","3030","2929","2921","2921","3007","3226","3580","3880","4290","4690","5195","","",
"Congo, Rep.","COG","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48","47","61","91","121","177","243","240","243","191","234","121","139","106","99","140","190","66","64","68","69","72","80","21","25","215","243","285","335","405","465","520","579","643","692","640","731","900","911","976.6","",
"Colombia","COL","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","4","13","18","31","48","66","91","123","165","224","300","400","535","775","921","1171","1618","3314","5673","10455","12267","23987","23971","25652","36630","29990","43710","45933","52947","61786","57660","57160","60895","60072","61000","70132","66565","68200","80623","80367","83681","89654","89398","92002","95857","106685","118485","132756.22","171025.45","179350.99","192521.03","204941.99","",
"Comoros","COM","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","22","28","35","",
"Costa Rica","CRI","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","9","13","19","27","41","58","79","185","106","106","270","399","410","573","1975","2244","3335","3910","6756","6986","7000","7937","9324","9708","10520","17892","20546","24708","24038","19962","25765","27059","24754.3","26839","27713.5","27287","30352","26765.5","23559.5","22212","21124","21955","22046","16268.95","17309.4","16772.41","",
